2	11	5	22	2	32	9	0	1	0	3	37	8	39	6	15	7	0	4	34	10	67
3	4	1	24	4	0	10	11	9	17	3	54	7	24	5	64	2	33	8	93	6	0
3	6	6	71	4	62	2	26	3	28	9	47	7	43	1	0	10	10	8	0	5	75
1	5	2	34	9	8	8	70	10	0	7	0	3	88	6	26	5	82	4	23	1	59
2	1	7	67	8	50	2	63	10	0	5	27	6	95	4	54	1	38	3	79	9	0
3	8	8	48	9	0	10	85	2	61	4	40	5	41	7	60	6	13	1	78	3	79
1	1	9	2	4	10	2	52	10	32	1	53	5	83	8	21	6	62	3	0	7	25
3	7	2	95	5	49	8	80	9	97	10	39	6	63	7	62	1	0	3	40	4	69
2	4	2	38	3	18	4	65	5	32	10	50	7	0	6	80	8	27	9	0	1	37
2	3	6	97	10	45	9	82	8	88	7	0	3	70	2	0	1	95	5	0	4	13
3	3	6	0	8	23	10	96	5	38	1	22	9	63	7	22	2	16	4	65	3	0
3	11	6	90	1	41	9	0	3	54	2	41	5	95	7	4	10	14	8	47	4	48
3	6	5	80	1	87	10	54	4	0	2	76	7	0	9	32	6	32	3	40	8	59
3	2	8	99	3	72	5	73	10	67	2	0	1	9	6	81	4	40	7	55	9	0
1	1	9	54	3	0	4	97	2	70	8	56	10	43	6	47	7	16	1	0	5	13
1	5	3	0	1	0	2	44	8	42	9	92	4	33	6	85	7	84	10	47	5	85
3	2	8	73	7	13	10	14	3	53	9	0	2	46	1	53	5	0	4	0	6	6
1	9	5	8	10	19	3	57	7	52	6	31	9	0	8	61	2	0	1	50	4	47
3	6	10	0	8	26	2	11	3	0	7	49	1	16	4	52	5	95	9	6	6	43
3	6	10	19	8	95	7	0	4	0	5	60	2	19	3	94	6	95	1	64	9	5
2	1	2	6	8	79	1	75	10	16	9	72	6	94	5	57	4	33	7	0	3	34
1	4	5	51	2	0	1	63	3	68	10	93	8	79	6	23	9	4	4	63	7	0
1	1	1	0	3	61	5	62	7	71	9	44	10	25	8	65	6	49	2	0	4	60
3	7	9	96	8	75	7	27	6	19	5	40	10	40	1	9	3	27	2	27	4	56
2	9	2	69	4	29	8	85	10	9	6	14	7	82	5	64	1	34	9	64	3	38
2	8	1	9	2	0	3	61	8	86	9	30	10	98	4	0	7	91	5	75	6	41
2	9	2	40	7	34	1	42	5	92	9	48	3	0	4	54	10	61	6	49	8	40
2	11	6	24	9	72	7	89	10	85	8	55	1	15	2	55	5	0	3	17	4	3
2	6	8	19	7	34	4	77	10	65	9	99	6	0	5	25	3	71	1	80	2	63
